AP,HP,card_type_id,color_id,cost,effect,effect_en,id,image_url,image_url_en,name_en,name_ja,rarelity_id,tribe_id
1,1,1,4,2,召喚されたターンの終了時自身のコピーを１体出す,At the end of your turn this minion summoned recruit a copy of itself,3135,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1687/3135.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1687/3135.png,Crab Thief(Subspecies),クラブシーフ（亜種）,2,3
3,1,1,4,3,召喚されたターンの終了時自身のコピーを１体出す,At the end of your turn this minion summoned recruit a copy of itself,3130,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1685/3130.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1685/3130.png,Greedy Crab Thief(Subspecies),強欲なクラブシーフ（亜種）,3,3
1,1,1,2,4,死亡時：１/１のおざわを１体出す,Deathrattle：Recruit a １/１ Ozawa.,3110,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1510/3110.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1510/3110.png,Ozawa,おざわ,2,3
1,1,1,2,1,ターン開始時 死亡時：ランダムな相手ユニット１体に１ダメージ,Turn start Deathrattle：Deal １ damage to a random enemy minion.,3115,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1508/3115.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1508/3115.png,The BABY of GUREN,紅蓮のあかちゃん,2,4
,,2,6,2,相手ユニット１体をー５/ー０する,Give an enemy minion ー５/ー０.,3085,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1449/3085.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1449/3085.png,blind,盲目の呪い,3,9
,,2,4,3,全てのユニットに２ダメージ カードを１枚引く,Deal ２ damage to all minions. Draw a card.,3040,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1447/3040.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1447/3040.png,Ice Storm,アイス・ストーム,3,9
8,8,1,3,9,召喚時：自分の手札１枚につきこのユニットを＋１/＋１する,Summon：Give ＋１/＋１ to this minion for each card in your hand.,3020,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1445/3020.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1445/3020.png,The White Whale,白鯨,3,3
,,2,2,1,すべてのドラゴンを＋１/＋１する カードを１枚引く,Give all dragons ＋１/＋１. Draw a card.,3000,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1443/3000.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1443/3000.png,Dragon Flame Summoning,龍炎陣,3,9
1,5,1,3,1,召喚時：相手はカードを３枚引く,Summon：Opponent player draws ３ cards.,1915,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1434/1915.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1434/1915.png,[Anniversary]Humpty Dumpty,[アニバーサリー]ハンプティ・ダンプティ,2,5
,,2,2,3,相手１体に２ダメージを与えて２/２のゴブリンを１体出す,Deal ２ damage to an enemy character to recruit a ２/２ Goblin.,1990,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1432/1990.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1432/1990.png,Snow Country Blue Aggressor,雪国の青い侵略者,3,9
,,2,2,3,相手１体に２ダメージを与えて２/２のゴブリンを１体出す,Deal ２ damage to an enemy character to recruit a ２/２ Goblin.,1985,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1430/1985.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1430/1985.png,Snow Country Red Aggressor,雪国の赤い侵略者,2,9
4,3,1,6,4,召喚時：味方魔法使いのステータスを４/４にする,Summon：Make the status of a friendly witch ４/４.,1975,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1428/1975.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1428/1975.png,Orpheus the Immortal Player,不死奏者 オルフェウス,3,4
,,2,5,2,お互いの最大マナを５にする,Change both player\'s empty mana to ５.,1970,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1426/1970.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1426/1970.png,Justice,正義の天秤,3,9
3,3,1,4,4,反撃：ランダムな相手ユニット１体を破壊する,Counterblow：Destroy a random enemy minion.,1965,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1424/1965.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1424/1965.png,Ice Werewolf,氷の人狼,3,3
,,2,3,4,相手１体に５ダメージ,Deal ５ damage to an enemy character.,1960,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1422/1960.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1422/1960.png,Lightning Ball,ライトニングボール,3,9
2,2,1,2,3,ターン開始時：全てのキャラクターに２ダメージ,Turn start：Deal ２ damage to all characters.,1900,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/1420/1900.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/1420/1900.png,[CM memorial]Mujol Flaming,[CM記念]むじょる(炎上Ver),2,4
1,1,1,1,3,召喚時 死亡時：カードを１枚引く,Summon Deathrattle：Draw a card.,1895,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/726/1895.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/726/1895.png,Sunset Angler Panda,夕焼けのパンダの釣り師,3,5
1,3,1,2,2,飛行 召喚時：このユニットの攻撃力をドラゴン１体の攻撃力と同じ値にする,Jump over Summon：Change this minion\'s Attack equal to a dragon\'s one.,1955,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/724/1955.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/724/1955.png,Chimera Synthetic Beast,灼熱の合成獣 キマイラ,3,3
3,4,1,5,5,飛行 召喚時：攻撃力が最も高いランダムな相手ユニット１体の攻撃力を０にする,Jump over Summon：Change an Attack of the random enemy minion with the largest Attack to ０.,1855,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/722/1855.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/722/1855.png,Arla Demonic Flying Ace,魔空王 アーラ,3,1
2,2,1,4,4,毒殺 召喚時：自分の墓地を４消費して２/２の墓場喰らいの凶獣を１体出す,Poison fang Summon：Spend ４ of your graveyard to recruit a ２/２ Graveyard Scavenger.,1840,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/720/1840.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/720/1840.png,Graveyard Scavenger,墓場喰らいの凶獣,3,3
3,3,1,3,4,鉄壁２ 再生,Shield２ Regeneration,1810,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/718/1810.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/718/1810.png,Xuan Wu,玄武,3,3
,,2,3,2,味方ユニット１体を手札に戻す,Return a friendly minion to your hand.,1770,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/713/1770.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/713/1770.png,Drive Recall,ドライブリコール,2,9
1,1,1,1,2,召喚時：ランダムな相手ユニット１体に２ダメージ,Summon：Deal ２ damage to a random enemy minion.,1910,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/711/1910.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/711/1910.png,Flash Knight Baron,閃光のバロン,3,2
1,1,1,1,2,召喚時：ランダムな相手ユニット１体に２ダメージ,Summon：Deal ２ damage to a random enemy minion.,1905,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/709/1905.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/709/1905.png,Flash Knight Baron,閃光のバロン,2,2
2,4,1,2,3,召喚時：他の味方ドラゴンがいる時このユニットを＋３/＋０する,Summon：When there is another friendly dragon give this minion ＋３/＋０.,1925,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/707/1925.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/707/1925.png,Draig the Red Dragon,赤き竜 ドライグ,3,6
,,2,6,9,自分の墓地を９消費して中立悪魔を場の上限まで出す,Spend ９ of your graveyard to recruit neutral demons until your battlefield is full.,1880,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/701/1880.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/701/1880.png,Freed from the Altar,祭壇の開放,3,9
10,10,1,5,6,召喚時：味方リーダーに１０ダメージ,Summon：Deal １０ damage to your hero.,1860,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/699/1860.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/699/1860.png,Ra the Golden Bird,黄金鳥 ラー,3,3
0,2,1,3,1,ターン終了時：マナクリスタルを１枚手札に加える このユニットに１ダメージ,Turn end：Add a Mana Crystal to your hand. Deal １ damage to this minion.,1815,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/697/1815.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/697/1815.png,Freya Royal Palace Contraption Mage,王宮機械魔道 フレイア,3,5
7,3,1,2,7,召喚時：最も体力の高いランダムなユニット１体を破壊する,Summon：Destroy a random minion with the largest Health.,1800,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/695/1800.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/695/1800.png,Warlord Grumax,争乱の王 グルマックス,3,3
0,4,1,6,2,召喚時：自分の墓地を４消費してこのユニットを＋４/＋０,Summon：Spend ４ of your graveyard to give this minion ＋４/＋０.,1875,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/678/1875.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/678/1875.png,Null Illusion,虚無の幻影,3,4
10,10,1,4,10,再生 ターン終了時：このユニットを＋２/＋２する,Regeneration Turn end：Give this minion ＋２/＋２.,1835,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/676/1835.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/676/1835.png,Hydra,ハイドラ,3,6
3,3,1,3,3,速攻 ターン終了時：このユニットを手札に戻す,Rapid Turn end：Return this minion to your hand.,1820,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/674/1820.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/674/1820.png,Triton Emperor of the Seven Seas,七海の覇王 トリトン,3,7
4,3,1,2,4,飛行 召喚時：超竜の炎球を１枚手札に加える,Jump over Summon：Add an Ultra Dragon Flame Sphere to your hand.,1795,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/672/1795.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/672/1795.png,Ultra Dragon Shooting Star,超竜 シューティングスター,3,6
2,1,1,6,2,死亡時：１/１のスケルトンを２体出す,Deathrattle：Recruit ２ １/１ Skeleton Knights.,1890,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/670/1890.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/670/1890.png,Magician of the Horror Wolf,恐るべき屍の魔術師,3,4
2,1,1,6,2,死亡時：１/１のスケルトンを２体出す,Deathrattle：Recruit ２ １/１ Skeleton Knights.,1885,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/668/1885.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/668/1885.png,Magician of the Cursed Wolf,呪われし屍の魔術師,2,4
4,4,1,4,6,ターン終了時：ランダムな味方フェアリー１体を＋１/＋１,Turn end：Give a random friendly fairy ＋１/＋１.,1725,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/666/1725.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/666/1725.png,Center Root,センタールート,2,7
,,2,3,3,デジャビュを１枚手札に加える カードを１枚引く,Add a Dejavu to your hand.Draw a card.,1715,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/664/1715.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/664/1715.png,Dejavu,デジャビュ,2,9
2,3,1,6,4,飛行 召喚時：自分の墓地を４消費して相手リーダーに４ダメージ,Jump over Summon：Spend ４ of your graveyard to deal ４ damage to the enemy hero.,1870,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/660/1870.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/660/1870.png,Blood Lord,ブラッドロード,3,4
5,5,1,5,6,飛行 召喚時：相手ユニット１体に２ダメージ 味方リーダーを２回復,Jump over summon：Deal ２ damage to an enemy minion.Restore ２ Health to your hero.,1850,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/658/1850.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/658/1850.png,Kariel,カリエル,3,1
2,2,1,4,5,飛行 死亡時：２/２のフェニックスを１体出す,Jump over Deathrattle：Recruit a ２/２ Phoenix.,1830,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/656/1830.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/656/1830.png,Phoenix,フェニックス,3,3
2,2,1,2,2,死亡時：ボムを２枚相手の手札に加える,Deathrattle：Add ２ Bombs to opponent player\'s hand.,1790,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/653/1790.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/653/1790.png,Walking Bomb,ウォーキングボム,3,4
,,2,2,2,相手１体に２ダメージ,Deal ２ damage to an enemy.,1700,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/651/1700.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/651/1700.png,Teddy Bomb,テディ・ボム,2,9
,,2,6,3,相手ユニット１体を−１/−２して１/１のスケルトンを２体出す,Give an enemy minion −１/−２ to recruit ２ １/１ Skeleton Knights.,1765,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/646/1765.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/646/1765.png,Skele Skele☆Dance Party！,スケスケ☆だんすぱーてぃ！,2,9
0,2,1,2,0,召喚時：相手リーダーの体力が１０の時カードを２枚引く,Summon：If the enemy hero\'s Health is 10 Draw 2 cards.,1655,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/645/1655.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/645/1655.png,Tomohappy,トモハッピー,3,5
4,3,1,6,5,召喚時：味方ユニット１体を破壊してこのユニットを＋２/＋２する,Summon：Destroy a friendly minion to give this minion ＋２/＋２.,1740,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/643/1740.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/643/1740.png,Demon of Pain,痛みの悪魔,2,4
2,2,1,3,5,死亡時：前衛を持つ０/３の霧を２体出す,Deathrattle：Recruit ２ ０/３ Mists with Frontline.,1710,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/641/1710.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/641/1710.png,Mist Witch,霧の魔女,2,5
1,3,1,5,3,ターン開始時 死亡時：最大マナを１増やす,Turn start Deathrattle：Gain an empty mana.,1780,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/638/1780.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/638/1780.png,Yuki the Cat Magic Knight,猫耳魔法騎士 ユキ,3,3
1,3,1,5,3,ターン開始時 死亡時：最大マナを１増やす,Turn start Deathrattle：Gain an empty mana.,1775,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/637/1775.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/637/1775.png,Yuki the Cat Magic Knight,猫耳魔法騎士 ユキ,3,3
0,0,1,6,8,召喚時：＊は相手の墓地の枚数に等しい,Summon：＊ is equal to the number of cards on opponent player\'s graveyard.,1865,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/635/1865.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/635/1865.png,Laurier\'s Experiment,ロリエの実験体,3,4
,,2,5,8,攻撃力５以下の全てのユニットを破壊する,Destroy all minions with an Attack of ５ or less.,1845,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/633/1845.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/633/1845.png,Neo Ragnarok,ネオ・ラグナロク,3,9
2,1,1,4,1,召喚されたターンの終了時 １/１の聖域のエルフを１体出す,At the end of the turn this minion was summoned recruit a １/１ Sacred Elf.,1825,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/631/1825.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/631/1825.png,Tia Letoliel Archer Princess,弓姫 ティア・レトリエラ,3,7
4,6,1,3,7,飛行 召喚時：相手リーダーに相手の手札の枚数分ダメージ,Jump over Summon：Deal damage equal to the opponent player\'s hands to the enemy hero.,1805,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/629/1805.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/629/1805.png,Blazer the Eater of Dimentions,次元を喰らうもの ブレイザー,3,6
1,3,1,2,4,召喚時：全ての味方ソルジャーを＋２/＋０する,Summon：Give all friendly soldiers ＋２/＋０.,1785,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/image/627/1785.png,https://d3n9a7g7xguuos.cloudfront.net/uploads/card/english_image/627/1785.png,Sylvia,シルヴィア,3,2
