AP,HP,cost,effect,gods_id,id,name_en,rarity_id,set_id,tribe_id,type_id
0,0,3,Transform a random enemy creature into a 0/5 Overgrown Golem with frontline and regen 5.,2,217,Grass Roots,3,1,,3
0,0,3,Pull from your deck a creature of your choice  that matches your god's domain  into your hand. Shuffle afterwards.,1,916,The Trial Begins,1,6,,3
0,0,8,Pull a random 5-mana creature from either void to your side of the board. Repeat this for 6  7  8  and 9 mana.,4,918,Trial of the Underworld,3,6,,3
0,0,5,Each friendly creature gains regen +1. Then  each friendly creature gains +X/+X  where X is their regen amount.,2,922,Trial of the Hydra,2,6,,3
0,0,4,For each War creature in any void  you gain 2 favor and your opponent loses 2 favor.,3,945,Blessing of War,2,6,,3
0,6,2,Cannot attack. Burn 2. Afterlife: Summon another random Anubian from your void.,4,267,Sarcophagus,1,1,4,1
1,1,5,Frontline. Protected. Afterlife: Set the attack of all enemy creatures to 1.,5,279,Seraph,3,1,2,1
2,5,5,Blitz. Twin strike.,3,1022,Orcish Elite,1,2,2,1
0,0,4,Add 3 randomised warriors to your hand.,3,1023,Mercenary Troop,2,2,2,3
3,2,3,Godblitz.,3,1024,Blade of Styx,1,2,2,4
2,2,6,Roar: Pull any spells in your opponent's hand that cost 2 or less onto the bottom of their deck,7,1025,Thalia Charite Temptress,4,2,7,1
6,8,7,Hidden. Flank. Whenever this creature attacks a god  a random enemy creature is put to sleep.,7,1026,Lokian Disciple,4,2,7,1
1,2,5,Godblitz. Deadly. Flank.,7,1027,Slip Blade,3,2,7,4
2,1,1,Afterlife: Deal 3 damage to each god.,4,1029,Bombfly,1,2,13,1
2,1,1,Roar: Give a friendly Viking +2 strength.,1,1076,Battlebard,3,2,12,1
1,3,1,Roar: Give a friendly creature +1 health.,1,1077,Trial Spirit,1,2,2,1
0,0,1,Deal X damage to an enemy creature where X is equal to the strength of a random creature you control.,2,1143,Arrow of Rage,2,2,2,3
2,4,6,Frontline. Roar: Summon a 4/2 Propyrean Owl with frontline.,1,1144,Athena\'s Conjurer,2,2,10,1
2,2,3,Frontline. Gain +1/+1 when a creature with roar enters the board.,1,1145,The Nemean Lion,4,2,10,1
4,1,3,Roar & afterlife: Both players draw a card.,4,1174,Vrock,1,2,9,1
1,4,2,Blitz. After your god is attacked  it gains protected and this relic loses 1 durability.,3,1180,Enduring Shield,1,2,9,4
3,4,6,Hidden for 1 turn. At the start of each player's turn  they select a card in their hand and obliterate it.,7,1183,Annoying Bureaucrat,2,2,7,1
3,2,3,Roar: Switch the strength and health of a creature.,7,1207,Dionysian Drunk,3,2,10,1
3,6,6,Frontline. Roar: Summon a 2/2 Netherling.,1,1208,Mammon\'s Stalwart,1,2,9,1
6,10,8,Frontline. Regen 2. Afterlife: Add two random Nature cards to your hand.,2,842,Figure in the Streets,2,6,9,1
0,0,5,Add a random Death card  Nature card  and War card to your hand.,2,914,Aeona\'s Defection,2,6,9,3
0,0,2,Delve a common god power from your domain. It replaces your god power. You cannot use it this turn. Gain 5 favor.,1,915,Council of the Gods,1,6,9,3
0,0,2,Pick one — • Draw a card. • Gain 7 favor. • Deal 2 damage. • Heal your god for 4.,1,917,Vow of Champions,1,6,9,3
0,0,7,Fill your side of the board with Shadow of Lethenons.,7,919,Trial of the Shadows,2,6,9,3
0,0,6,All creatures have their strength and health set to 2. Summon a 2/5 Pillar with frontline and can't attack.,5,920,Trial of the First Pillar,2,6,9,3
0,0,7,"Summon a copy of target creature. The copy has ""At the start of your turn  summon a copy of this creature.""",6,921,Trial of the False Reflection,2,6,9,3
0,0,7,"At the end of your turn  double each friendly creature's strength and give them ""Afterlife: Deal damage equal to this creature's strength  split randomly among all enemy creatures.""",3,923,Trial of the Innocents,2,6,9,3
0,0,1,Give your relic +4 strength for its next attack.,3,303,Whetstone,1,1,9,3
1,3,5,Deadly. Roar: Select a creature from your void and trigger its afterlife.,4,1030,Sand Scorpion,1,2,9,1
1,3,2,Blitz. Whenever you attack  give a random friendly creature +1 strength.,1,100058,Glamoured Gladius,1,1,9,4
0,0,2,At the end of your turn  if this card is in your hand  deal 1 damage to your god for every 2 cards in your hand.,7,100062,Mind Probe,1,1,9,3
0,0,1,Heal your god for 7. If this puts your god at full health  add a random Nature card to your hand.,2,1017,Revivification,1,2,9,3
0,0,3,Add a mana lock to your opponent's mana gems.,3,1019,Antimagic Wards,1,2,9,3
4,4,4,Whenever a creature dies  its owner draws a card.,4,1028,Famished Ghoul,1,2,9,1
0,0,8,Summon up to six 2/2 Acolytes and give them protected. For each Acolyte not summoned  heal your god for 4.,5,1020,Zealous March,2,2,9,3
0,0,8,Soulless. Draw two cards. Set each god's health to 20. Destroy a random enemy creature with cost 5 or more. Change your god power to Blight.,4,83,Death Unborn,4,1,9,3
0,0,2,Create a base copy of the lowest cost spell in your hand.,6,91,Magic Inks,2,1,9,3
2,1,2,Whenever you cast a spell  this creature gets +1/+1.,6,92,Runic Familiar,1,1,9,1
1,1,2,Afterlife: Summon a 3/2 Experimental Outcome.,4,800,Nether\'s Advocate,1,6,4,1
3,4,3,"Roar: If you control at least two other creatures  select two. Randomly  one gains twin strike  the other gains ""can't attack"".",1,90,Synergy Golem,3,1,5,1
0,2,1,Cannot attack. Roar: Hide a friendly creature for 1 turn. Afterlife: Draw a card.,7,126,A Real Man,1,1,5,1
0,1,1,After a friendly creature dies  deal 1 damage to the opponent's god.,4,806,Skull Scepter,2,6,5,4
0,1,9,Ward. When this creature is summoned  it gains the combined strength and health of each creature in your void.,4,811,Hippacria\'s Monster,4,6,5,1
3,3,4,Backline. Ward. Roar: Each friendly creature is no longer confused. Ability: Deal 2 damage to an enemy  and then a random enemy creature becomes confused.,2,826,Selena Champion of Nature,4,6,3,1
0,4,3,After you play a Nature card  add 1 durability to this relic. Ability: Deal 2 damage to a random enemy creature  then remove 2 durability from this relic.,2,832,Selena\'s Bow,4,6,3,4
0,0,4,Deal 12 damage to a random enemy creature and to a random friendly creature. Add a random Nature card to your hand.,2,836,Frenzied Ritual,2,6,3,3
3,3,5,Roar: This creature gains +1/+1 for each friendly creature.,1,216,Ruthless Caipora,1,1,3,1
3,3,6,Roar: Add a rune to your hand. For each rune in your hand  deal 1 damage to a random enemy creature and give this creature +1/+1.,1,224,Ocular Fiend,3,1,13,1
0,0,4,Two random enemy creatures go to sleep. Two random friendly creatures go to sleep and they each get +3 strength.,7,265,False Peace,2,1,13,3
3,2,4,Roar: Destroy two other random friendly creatures. This creature gains +2/+3 for each creature destroyed.,4,276,Vile Mantis,1,1,13,1
5,6,5,Frontline. Roar: Pick one – · Deal 6 damage to your god  or · Obliterate a card in your hand.,1,294,Cavern Arachne,2,1,9,1
4,4,7,Deadly. Flank. Frontline. Protected. Ward. Roar: Give burn +1 to a creature.,1,402,Blessed Chimera,3,4,9,1
