ナイリー　外国人風スペシャリスト/メイク動画/似合わせ,14300,161,1,https://www.instagram.com/nailey1010/
ミルクティーベージュ/ブリーチなし/自由が丘美容室,1994,143,1,https://www.instagram.com/beach_saria/
内田聡一郎,97200,"1,751",1,https://www.instagram.com/soucuts/
ハイライト　透明感　グレージュ　髪質改善,9205,"2,111",1,https://www.instagram.com/happytakusan/
Taku Minowa,6559,"1,808",1,https://www.instagram.com/taku_minowa/
川原悠司/心斎橋/ハイライト/バレイヤージュ,11000,"1,411",1,https://www.instagram.com/yuji_kawahara/
C CHANNEL-ヘアアレンジ.メイク.DIY動画,634000,"4,208",1,https://www.instagram.com/cchannel_girls/
永田祥汰,1631,245,2,https://www.instagram.com/beta_gacchi/
ハイトーン　バレイヤージュ　藤井龍之介　名古屋,12800,526,7,https://www.instagram.com/ryu_balayagehair/
kento/ボブ/ロブ/ハイライトカラー,14800,"1,574",1,https://www.instagram.com/kento.1107/
京極 琉 Ryu Kyogoku,361000,"2,618",1,https://www.instagram.com/ryuhairartist/
RINA KATO,7769,"1,458",1,https://www.instagram.com/katori____na/
明石遼 /ベージュ/グレージュ/,3619,472,1,https://www.instagram.com/ry04m/
𝚖𝚊𝚢𝚊*簡単ヘアアレンジ*動画* コーディネート,63500,"1,976",1,https://www.instagram.com/maya_arrange/
藤本　竜/新宿/ハイライト/グラデーション/,6105,426,3,https://www.instagram.com/1015fujimoto_ryu/
𝑺𝑯𝑶𝑫𝑨𝑰 ヘアアレンジ/ハイライト/バレイヤージュ,9098,424,1,https://www.instagram.com/shodai111/
小顔似合わせカット/ヘアカラー/レイヤーカット,41400,"1,082",1,https://www.instagram.com/f_u_k_a__style/
桑原 大貴/𝘼𝙇𝘽𝙐𝙈 𝙃𝘼𝙍𝘼𝙅𝙐𝙆𝙐/𝘽𝙖𝙡𝙖𝙮𝙖𝙜𝙚,121000,"1,845",1,https://www.instagram.com/taiki0726/
AVANCE. CROSSmelc 成澤大輝,11900,"2,678",3,https://www.instagram.com/narisawa_taiki/
ALIVE Nagoya,298,56,3,https://www.instagram.com/alivenagoya/
Takuma Kosugi,26700,"1,094",1,https://www.instagram.com/cos____/
KOMAKI,55500,"2,909",1,https://www.instagram.com/komakii/
山中 裕樹/ハイライト/バレイヤージュ/大阪,1893,819,3,https://www.instagram.com/yuuki_yama24_/
ALIVE 竹下 和真／ハイライト/コントラストハイライト,1903,331,3,https://www.instagram.com/alive_kazuma/
高岡辰也/ハイライト/バレイヤージュ／エアタッチ/滋賀/草津,1652,398,1,https://www.instagram.com/tatsuya_fexia/
ACQUAstylist 泓田崇（ふけだたかし）,13000,"2,546",2,https://www.instagram.com/fukke0108/
國方 大靖/レイヤーカット/梅田,35400,"1,616",4,https://www.instagram.com/figaro_kunikata/
ハイトーン　名古屋　ブリーチカラー　藤井龍之介,21700,627,8,https://www.instagram.com/ryu_blonde/
宗像 佑允/バレイヤージュ/ハイライト,5315,275,2,https://www.instagram.com/lian_munakata/
美容ライター♡まぃまぃ♡,85000,995,2,https://www.instagram.com/maimai.007/
みやちのりよし,98800,"2,308",1,https://www.instagram.com/miyachinoriyoshi/
佐田/新宿／ハンサムショート/ショート/ベージュカラー,4493,854,1,https://www.instagram.com/sata_gram/
Mana,5245,683,2,https://www.instagram.com/mana.mono96/
藤田真雪,19700,216,1,https://www.instagram.com/fujitamayuki__/
Hairgram【ヘアグラム】/ ヘアアレンジ / ヘアケア,19300,321,1,https://www.instagram.com/hair_gram__/
白土諒/エアタッチ/バレイヤージュカラー/ハイライトカラー,48200,"5,254",6,https://www.instagram.com/ryo_alive/
いわやまこと/Makoto Iwaya,12400,"1,590",1,https://www.instagram.com/makoto_tgjp/
矢島康平　豊橋美容室　ハイライト　バレイヤージュ,3035,208,2,https://www.instagram.com/yaji1213/
細ハイライト/ハイライト/カワカミキョウセイ,3003,480,1,https://www.instagram.com/abbey_kawakami/
ryota/インナーカラー/グラデーションカラー/,6403,655,5,https://www.instagram.com/r_y_o_t_a_alive/
フェイスフレーミング/ハイライトの似合わせ/阿藤俊也,17600,975,1,https://www.instagram.com/toshiyaato/
ENO ENOMOTO,6624,"1,500",1,https://www.instagram.com/eno__pro2/
沢井卓也,35700,"1,963",1,https://www.instagram.com/sawaitakuya/
こなん,111000,644,1,https://www.instagram.com/konan_610/
西村涼　バレイヤージュ、ハイライト,1362,85,3,https://www.instagram.com/nishishing2/
misachan,23000,619,1,https://www.instagram.com/misa.misa12/
グレージュ／ハイライト／バレイヤージュ／下北沢✂︎,3159,552,6,https://www.instagram.com/g_takaya/
ハイトーン バレイヤージュ 名古屋 外国人風カラー,8639,340,4,https://www.instagram.com/balayagehairfujii/
副店長/佐々木英賢/エアタッチバレイヤージュ指名NO.1,1619,213,1,https://www.instagram.com/hide_alive/
