asset_ID,currency,image_URL,name,price,purchase_URL
0,ETH,https://lh3.googleusercontent.com/inlWprXHFCS6N-Qplz2NLYXT4sR0BKI38AHeaqTgMKerib4oZ0Te-T2eOaio9_Bryzvs2YaUSl6j0efwRMKrQz0,Lightning Ball #119600084,0.1302,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/119600084
1,ETH,https://lh3.googleusercontent.com/3xhcwQRzt2rgAbOe9XmAJVGcIrDXHLJkERtYwFXDM-UTycsPyVQV7hgxdDYAvi8pDXvu07k0XA_yDTca0y5Vtxw,Lightning Ball #119600072,0.125,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/119600072
2,ETH,https://lh3.googleusercontent.com/LYZleGn_YbP9c1QceDxxTb_yXQ7nK_tVv5t3nFE6-lHbIMKAbmh5rDtC1JKQm0gAUQpcPStqwQkxzjCf8llvX10,Hameln #113400079,0.27,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/113400079
3,ETH,https://lh3.googleusercontent.com/LYZleGn_YbP9c1QceDxxTb_yXQ7nK_tVv5t3nFE6-lHbIMKAbmh5rDtC1JKQm0gAUQpcPStqwQkxzjCf8llvX10,Hameln #113400071,0.25,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/113400071
4,ETH,https://lh3.googleusercontent.com/IYrYd7WYRPYtn_qWrmQrG9cdML44nCXP3aKUMF39q10ojYhpnY5UXOZlqsy-yWo3mo9Ycitg06aUD-Msbn3etLpeMA,Xuan Wu #118100064,0.16,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118100064
5,ETH,https://lh3.googleusercontent.com/8rsml9oxBnGDmrVscAcoGVrx0Mn-JzTWHyoOyxIyTWuaceOZb59YlhrEnkDdTyI8LSufAVkBNh5bZP6kdVp_cjRn9g,Xuan Wu #118100045,0.7,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118100045
6,ETH,https://lh3.googleusercontent.com/8rsml9oxBnGDmrVscAcoGVrx0Mn-JzTWHyoOyxIyTWuaceOZb59YlhrEnkDdTyI8LSufAVkBNh5bZP6kdVp_cjRn9g,Xuan Wu #118100020,0.4,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118100020
7,ETH,https://lh3.googleusercontent.com/Zdures5yH8XNOB2m7us1h1YB1-uGh6JUsNhuEuz73uQZyy_dOlBKspfL8ZTKTAnsGY_tTqQV9g373v2c4JNzSFnyEQ,[Cryptospell]I'll Show You My Fencing！ #122400143,0.06,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/122400143
8,ETH,https://storage.opensea.io/files/122d8fc3dab5b6509fae6913d3103eda.png,Sunset Angler Panda #118950179,0.0229,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118950179
9,ETH,https://lh3.googleusercontent.com/dvZsAunyvgrAQoqWj0jqkOzJtdgvWCo-3EhH_R_XGVgGk5phTJouYQJyGva84ySN4WQ1fOlgRNEYDuiWOeTFXKwx,Sunset Angler Panda #118950063,0.029,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118950063
10,ETH,https://lh3.googleusercontent.com/dvZsAunyvgrAQoqWj0jqkOzJtdgvWCo-3EhH_R_XGVgGk5phTJouYQJyGva84ySN4WQ1fOlgRNEYDuiWOeTFXKwx,Sunset Angler Panda #118950052,0.0229,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118950052
11,ETH,https://lh3.googleusercontent.com/thficUVNpyNhsg17hDthArSFtddNZ3tl5z93kQbwPNhST_slg_aa1VSfY5HVLvIV-w_j1gQKUhhLa9IR30CUh-Md,"Freya, Royal Palace Contraption Mage #118150115",0.105,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118150115
12,ETH,https://storage.opensea.io/files/ac0c67801bca0df22321c5215ef5aebc.png,"Freya, Royal Palace Contraption Mage #118150113",0.105,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118150113
13,ETH,https://lh3.googleusercontent.com/23M_CeKyQkRo1m8CXdyGuYOv4jy6vK0z5AQXoZypZSuaJ7SYqnV-b-rGTHA8Y6jLVU5suHP93c0MiMiNG2koK5o,Freed from the Altar #118800127,0.1503,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118800127
14,ETH,https://lh3.googleusercontent.com/23M_CeKyQkRo1m8CXdyGuYOv4jy6vK0z5AQXoZypZSuaJ7SYqnV-b-rGTHA8Y6jLVU5suHP93c0MiMiNG2koK5o,Freed from the Altar #118800086,0.1503,https://opensea.io/assets/0x67cbbb366a51fff9ad869d027e496ba49f5f6d55/118800086
