boubacar-kamara,Boubacar Kamara
rob-schoofs,Rob Schoofs
simon-mignolet,Simon Mignolet
manuel-benson-hedilazio,Manuel Benson
ruben-santos-gato-alves-dias,Rúben Dias
brendan-schoonbaert,Brendan Schoonbaert
santiago-colombatto,Santiago Colombatto
alban-lafont,Alban Lafont
georgiy-shchennikov,Georgiy Shchennikov
brandon-mechele,Brandon Mechele
makhtar-gueye,Makhtar Gueye
theo-bongonda-mbul-ofeko-batombo,Théo Bongonda
bastian-oczipka,Bastian Oczipka
nemanja-radonjic,Nemanja Radonjić
francisco-reis-ferreira,Ferro
elisha-owusu,Elisha Owusu
mouhamed-mbaye,Mouhamed Mbaye
kouakou-herve-koffi,Hervé Koffi
nadiem-amiri,Nadiem Amiri
nicolas-gavory,Nicolas Gavory
marcos-antonio-silva-santos,Marcos Antonio
william-saliba,William Saliba
michael-ngadeu-ngadjui,Michael Ngadeu-Ngadjui
mattia-de-sciglio,Mattia De Sciglio
boris-rotenberg,Boris Rotenberg
jordan-rolly-botaka,Jordan Botaka
exequiel-alejandro-palacios,Exequiel Palacios
anthony-henri-vanden-borre,Anthony Vanden Borre
bertrand-isidore-traore,Bertrand Traoré
niklas-lomb,Niklas Lomb
nabil-fekir,Nabil Fekir
milan-tucic,Milan Tučić
wojciech-szczesny,Wojciech Szczęsny
luka-dordevic,Luka Đorđević
kevin-hoggas,Kévin Hoggas
junior-fashion-sakala,Fashion Sakala
sergej-milinkovic-savic,Sergej Milinković-Savić
igor-akinfeev,Igor Akinfeev
cristiano-ronaldo-dos-santos-aveiro,Cristiano Ronaldo
paulo-bruno-exequiel-dybala,Paulo Dybala
ozan-muhammed-kabak,Ozan Kabak
houssem-aouar,Houssem Aouar
nicolas-penneteau,Nicolas Penneteau
ebere-paul-onuachu,Paul Onuachu
edin-dzeko,Edin Džeko
lorenzo-insigne,Lorenzo Insigne
thibault-peyre,Thibault Peyre
timothy-derijck,Timothy Derijck
charles-de-ketelaere,Charles De Ketelaere
aleksandr-maksimenko,Aleksandr Maksimenko
maximiliano-gabriel-comba,Maximiliano Comba
aboubakary-koita,Aboubakary Koita
vedran-corluka,Vedran Ćorluka
eder-fabian-alvarez-balanta,Éder Álvarez
matthijs-de-ligt,Matthijs de Ligt
guillaume-hubert,Guillaume Hubert
arnaud-bodart,Arnaud Bodart
abdoul-fessal-tapsoba,Abdoul Tapsoba
yuki-kobayashi-1992-04-24,Yuki Kobayashi
gianni-bruno,Gianni Bruno
lukas-hradecky,Lukáš Hradecky
gianluigi-buffon,Gianluigi Buffon
leonardo-bonucci,Leonardo Bonucci
moussa-dembele,Moussa Dembélé
mateus-cardoso-lemos-martins,Tetê
ryota-morioka,Ryota Morioka
gonzalo-gerardo-higuain,Gonzalo Higuaín
nikola-storm,Nikola Storm
zinho-vanheusden,Zinho Vanheusden
maxime-busi,Maxime Busi
adolfo-julian-gaich,Adolfo Gaich
juan-guillermo-cuadrado-bello,Juan Cuadrado
jesus-manuel-corona-ruiz,Jesús Corona
danijel-milicevic,Danijel Miličević
konstantinos-laifis,Konstantinos Laifis
jordan-larsson,Jordan Larsson
rafael-alexandre-fernandes-ferreira-da-silva,Rafa Silva
ali-gholizadeh,Ali Gholizadeh
rafael-pereira-da-silva,Rafael
ibrahima-seck,Ibrahima Seck
isaac-asante,Isaac Asante
samir-nasri,Samir Nasri
aleksey-miranchuk,Aleksey Miranchuk
julien-de-sart,Julien De Sart
gojko-cimirot,Gojko Cimirot
simon-deli,Simon Deli
moussa-marega,Moussa Marega
